Table 1: Approved Canada Emergency Wage Subsidy (CEWS) Claims by Province/Territory of Business Address,,,,,,,,
,,,,,,,,
Claim Period,Province or Territory,Applications Approved Since Launch,Number of Eligible Employees (Line A),Number of Eligible Employees on Leave with Pay (Line AA),Number of Employees Supported by the Program (Line A + Line AA),CEWS Amount Approved Since Launch,Average CEWS Amount per Employee,Percent Distribution of Approved Applications for Each Claim Period
"P06: August 2, 2020 to August 29, 2020",Ontario,107660,2128360,23470,2151840,3120903000,1450,0.36
"P06: August 2, 2020 to August 29, 2020",Manitoba,7590,150090,1150,151240,244179000,1615,0.03
"P06: August 2, 2020 to August 29, 2020",Saskatchewan,7650,99270,790,100050,149844000,1498,0.03
"P06: August 2, 2020 to August 29, 2020",Alberta,41160,667400,10000,677400,1255228000,1853,0.14
"P06: August 2, 2020 to August 29, 2020",British Columbia,42260,620220,6340,626560,972217000,1552,0.14
"P06: August 2, 2020 to August 29, 2020",Yukon,300,5060,10,5070,7788000,1536,0
"P06: August 2, 2020 to August 29, 2020",Northwest Territories,210,3360,30,3390,6153000,1815,0
"P06: August 2, 2020 to August 29, 2020",Nunavut,70,1570,20,1590,2597000,1633,0
"P06: August 2, 2020 to August 29, 2020",Missing,440,55030,270,55290,59530000,1077,0
"P06: August 2, 2020 to August 29, 2020",All Canada,297560,5281560,57250,5338800,8079734000,1513,1
"P07: August 30, 2020 to September 26, 2020",Newfoundland and Labrador,3310,48190,160,48350,48036000,994,0.01
"P07: August 30, 2020 to September 26, 2020",Prince Edward Island,1470,21250,30,21280,18491000,869,0.01
"P07: August 30, 2020 to September 26, 2020",Nova Scotia,5770,92750,2060,94800,87370000,922,0.02
"P07: August 30, 2020 to September 26, 2020",New Brunswick,5770,91060,200,91260,79306000,869,0.02
"P07: August 30, 2020 to September 26, 2020",Quebec,69020,1232860,8860,1241720,1111372000,895,0.24
"P07: August 30, 2020 to September 26, 2020",Ontario,103720,2136400,16650,2153040,1950351000,906,0.36
"P07: August 30, 2020 to September 26, 2020",Manitoba,7310,142510,660,143180,161048000,1125,0.03
"P07: August 30, 2020 to September 26, 2020",Saskatchewan,7610,100460,350,100810,92792000,920,0.03
"P07: August 30, 2020 to September 26, 2020",Alberta,40250,668960,8650,677610,828767000,1223,0.14
"P07: August 30, 2020 to September 26, 2020",British Columbia,40510,590870,5660,596530,590799000,990,0.14
"P07: August 30, 2020 to September 26, 2020",Yukon,280,4680,20,4700,5122000,1090,0
"P07: August 30, 2020 to September 26, 2020",Northwest Territories,210,3230,10,3250,4026000,1239,0
"P07: August 30, 2020 to September 26, 2020",Nunavut,70,1820,20,1840,1761000,957,0
"P07: August 30, 2020 to September 26, 2020",Missing,430,56420,370,56800,38533000,678,0
"P07: August 30, 2020 to September 26, 2020",All Canada,285730,5191460,43690,5235150,5017775000,958,1
"P08: September 27, 2020 to October 24, 2020",Newfoundland and Labrador,2980,42910,130,43040,34462000,801,0.01
"P08: September 27, 2020 to October 24, 2020",Prince Edward Island,1280,18630,10,18640,14158000,760,0
"P08: September 27, 2020 to October 24, 2020",Nova Scotia,5310,83940,2130,86080,65627000,762,0.02
"P08: September 27, 2020 to October 24, 2020",New Brunswick,5370,85330,150,85480,59997000,702,0.02
"P08: September 27, 2020 to October 24, 2020",Quebec,67040,1177080,9710,1186790,847662000,714,0.24
